Transaction_ID,ATM_ID,Location,Card_Type,Transaction_Type,Transaction_Amount,Account_Balance_After_Transaction,Transaction_Date,Transaction_Time,Customer_ID,ATM_Status,Transaction_Status,Bank_Name,Fee_Charged,Currency
e3e70682-c209-4cac-a29f-6fbed82c07cd,ATM7311,Liverpool,Visa Credit,Balance Inquiry,64.8,1098.43,2024-08-15,07:21:07,0a6fe96a-c886-441e-9aba-ca34e75a1182,Under Maintenance,Pending,Lloyds,1.87,GBP
f728b4fa-4248-4e3a-8a5d-2f346baa9455,ATM7890,Manchester,MasterCard Debit,Withdrawal,0.0,311.05,2024-08-09,18:10:10,21782e51-5366-4ee6-a593-c2fc0c5e548e,Active,Failed,HSBC,2.11,GBP
eb1167b3-67a9-4378-bc65-c1e582e2e662,ATM1663,Edinburgh,MasterCard Debit,Mini Statement,0.0,3922.6,2025-05-11,21:03:30,78692ba9-69d0-405d-ba5b-5d40e08d92a7,Inactive,Success,HSBC,0.02,GBP
f7c1bd87-4da5-4709-9471-3d60c8a70639,ATM5242,Manchester,MasterCard Debit,Withdrawal,347.68,8299.2,2024-08-12,16:53:23,8f65902f-9305-4550-ae5d-412e52eb661a,Active,Success,NatWest,2.87,GBP
e443df78-9558-467f-9ba9-1faf7a024204,ATM9376,Glasgow,Visa Credit,Balance Inquiry,397.39,6084.86,2024-09-22,21:41:22,1cc19eba-0e74-4dd8-bf90-cd193733aea1,Under Maintenance,Success,HSBC,2.11,GBP
23a7711a-8133-4876-b7eb-dcd9e87a1613,ATM8961,Liverpool,MasterCard Credit,Withdrawal,0.0,3576.44,2025-01-28,22:17:35,ee795774-c191-4d3c-850d-b63c0539b329,Under Maintenance,Success,Barclays,0.05,GBP
1846d424-c17c-4279-a3c6-612f48268673,ATM7634,Bristol,MasterCard Credit,Mini Statement,493.49,1088.48,2024-09-20,00:47:36,571f3220-4768-4c28-a20f-7d9a4aec1798,Under Maintenance,Pending,Lloyds,0.72,GBP
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,ATM5969,Liverpool,Visa Debit,Withdrawal,0.0,2927.28,2024-07-02,09:25:39,bb28dead-b185-4ecd-8ecf-36d575b3ae06,Under Maintenance,Failed,HSBC,0.52,GBP
b4862b21-fb97-4435-8856-1712e8e5216a,ATM8808,London,Visa Credit,Mini Statement,0.0,3383.4,2024-07-29,04:19:16,9295fcb0-47a7-4c0e-b659-3682d34bb91f,Inactive,Pending,Santander,2.34,GBP
259f4329-e6f4-490b-9a16-4106cf6a659e,ATM6866,Birmingham,Visa Debit,Mini Statement,0.0,2724.23,2025-01-30,04:14:03,f8e1bf86-fd3a-41ed-8bd7-f060cea1080e,Under Maintenance,Failed,Barclays,0.01,GBP
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,ATM4578,Glasgow,MasterCard Debit,Balance Inquiry,0.0,7864.99,2024-11-15,16:29:59,233c3946-b268-43c9-99fa-b10f0bbf8da5,Inactive,Failed,HSBC,1.07,GBP
5487ce1e-af19-422a-99b8-a714e61a441c,ATM9268,Leeds,Visa Debit,Balance Inquiry,114.65,2438.4,2024-07-28,02:57:08,2da2129c-499f-4c92-8a1b-3ff29a87a2cd,Inactive,Failed,HSBC,0.27,GBP
5a921187-19c7-4df4-8f4f-f31e78de5857,ATM3281,Edinburgh,MasterCard Credit,Balance Inquiry,0.0,5965.78,2025-05-21,04:04:06,07ef38af-be6c-4955-996f-7dec52950cf8,Under Maintenance,Success,Lloyds,0.68,GBP
a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,ATM5617,Edinburgh,MasterCard Debit,Deposit,0.0,6576.17,2024-09-14,19:12:17,4bafd8a4-a54d-4d7a-938a-b185f419e56c,Active,Pending,Lloyds,0.61,GBP
8d723104-f773-43c1-b458-a748e9bb17bc,ATM3289,Liverpool,MasterCard Credit,Deposit,0.0,4184.1,2024-12-19,16:16:27,6a4928e0-df63-480b-be65-0f819fa5cabc,Inactive,Failed,HSBC,0.58,GBP
85776e9a-dd84-439e-b154-5a137a1d5006,ATM2553,Edinburgh,Visa Credit,Withdrawal,179.53,9593.72,2025-04-10,01:26:42,d9019334-224f-457f-a211-8c2ce6c016b8,Active,Failed,HSBC,1.47,GBP
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,ATM5104,Leeds,Visa Credit,Withdrawal,0.0,1765.39,2024-10-09,06:35:57,d6c76ce7-ca4a-4dce-8caa-dec87a9f1bcc,Active,Failed,HSBC,1.23,GBP
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,ATM9725,Manchester,Visa Credit,Deposit,0.0,9216.25,2024-06-27,14:47:10,380138d0-0fd9-47e9-8159-4649c7270c7e,Inactive,Failed,NatWest,2.42,GBP
b5d32b16-6619-4cb1-9710-37d1b83e90ec,ATM3407,Liverpool,Visa Credit,Mini Statement,47.31,6184.1,2024-06-13,22:57:15,394549fd-39fe-4ee4-b77e-ec83d8c15e48,Active,Pending,Barclays,2.77,GBP
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,ATM6081,London,MasterCard Debit,Balance Inquiry,0.0,9832.6,2024-10-12,02:57:43,70ff60b6-2ea5-419a-87c3-03e80ce215a6,Inactive,Success,Lloyds,1.03,GBP
d3fbf47a-7e5b-4e7f-9ca5-499d004ae545,ATM2618,Bristol,MasterCard Debit,Balance Inquiry,0.0,1707.21,2024-06-28,03:06:26,bf18fa42-365c-4caa-884a-b9e00ec70404,Under Maintenance,Pending,HSBC,2.92,GBP
baf3897a-3e70-416a-9548-5822de1b372a,ATM2208,Edinburgh,MasterCard Credit,Deposit,0.0,7663.56,2024-10-28,09:22:36,5dc19e28-699c-4741-9a0d-978cf2933f44,Active,Failed,Lloyds,0.33,GBP
101fbccc-ded7-43e8-b421-eaeb534097ca,ATM6409,Leeds,MasterCard Credit,Withdrawal,0.0,2834.14,2025-02-26,09:38:21,f2a9a143-6731-4f7c-abeb-1dc2f1842cbc,Active,Pending,Santander,1.35,GBP
38c1962e-9148-424f-aac1-c14f30e9c5cc,ATM8735,Manchester,Visa Debit,Deposit,0.0,1026.98,2024-07-30,14:04:22,6a8a2dc8-3329-4926-9a37-c70da1cb5262,Under Maintenance,Success,Lloyds,2.18,GBP
247a8333-f7b0-47d2-8da8-056c3d15eef7,ATM2649,Leeds,Visa Credit,Balance Inquiry,0.0,2268.38,2024-10-21,19:26:34,333858e8-253d-496c-b791-8307085a8f28,Inactive,Success,Lloyds,2.47,GBP
1759edc3-72ae-4244-8b01-63c1cd9d2b7d,ATM6796,Manchester,Visa Debit,Deposit,0.0,2528.82,2025-02-02,08:25:19,72e48a30-3230-457e-8356-e11d1ff9b18b,Active,Failed,Santander,1.24,GBP
e005b860-51ef-4922-be43-c49e149818d1,ATM8113,Liverpool,MasterCard Debit,Withdrawal,189.27,7014.71,2024-07-31,02:04:42,f7bad91a-2fb9-4e0b-8c37-e437e7d71f69,Inactive,Success,Santander,0.6,GBP
7d41e602-eece-428b-bf7b-118e820865d6,ATM6180,Bristol,Visa Credit,Balance Inquiry,0.0,6912.7,2025-02-19,08:26:34,bc5c05cb-0308-4aca-b45b-7c6460f2b774,Active,Success,NatWest,0.01,GBP
4a84eb03-8d1f-49b7-8d2b-9deb1beb3711,ATM4350,London,MasterCard Credit,Deposit,474.41,8882.42,2025-01-31,19:01:37,2a238224-1f62-4aa4-9d0b-fabb61ebc8f8,Inactive,Failed,NatWest,1.94,GBP
552f233a-8c25-466a-9ff3-9849b4e1357d,ATM8815,Manchester,Visa Debit,Withdrawal,0.0,3276.16,2025-04-08,19:41:13,0ea2c9ff-baeb-4feb-b799-25b12722ca4d,Under Maintenance,Success,Barclays,2.32,GBP
3405095c-8a50-46c1-ac18-8efbd080e66e,ATM8253,Sheffield,Visa Debit,Mini Statement,0.0,3565.78,2025-04-03,23:04:21,84676cc9-f481-4575-8587-6e19022223c1,Active,Pending,NatWest,1.83,GBP
8c1745a7-9a6a-4f92-8ca7-4147f6be1f72,ATM9541,Birmingham,Visa Credit,Deposit,0.0,8548.21,2024-09-15,21:33:16,4535c521-1a0c-4c9b-8f0f-41c3c01de1a4,Inactive,Failed,NatWest,0.4,GBP
1775336d-71ea-4d05-89a3-e80e966e1277,ATM5267,London,MasterCard Credit,Deposit,0.0,5372.29,2024-12-21,14:23:07,59027c0b-eda3-459e-97c8-091c547d8eb0,Active,Failed,Lloyds,1.36,GBP
5129fb7c-6288-41a5-8c45-782198a6416d,ATM2020,Liverpool,MasterCard Debit,Withdrawal,0.0,3152.06,2024-12-05,14:44:29,1e1ce026-73a6-4403-810f-dc6e3b2de36b,Under Maintenance,Failed,Santander,1.98,GBP
2f120554-4a53-48cc-bdfa-bc08935ddd72,ATM9989,Bristol,MasterCard Credit,Withdrawal,327.69,9258.63,2024-08-02,23:26:13,40b15c18-a512-4905-822f-7f4c7ea8de50,Active,Pending,Santander,1.88,GBP
0870e15c-2fcd-41b5-924b-ace4307bf326,ATM1230,Bristol,MasterCard Credit,Withdrawal,0.0,1386.95,2025-01-01,12:03:19,39749b0a-720c-48af-a0e2-82ce24a48b6e,Under Maintenance,Pending,NatWest,1.21,GBP
42930b33-a81a-4477-bb36-75b89cdeb3e6,ATM2528,Edinburgh,Visa Credit,Balance Inquiry,0.0,7509.55,2025-01-13,10:47:18,6b15d293-5344-4663-a02b-32f087c66011,Under Maintenance,Success,NatWest,0.51,GBP
adc0da7a-16fe-4aa0-91af-923d79fdef7c,ATM7534,Leeds,Visa Credit,Deposit,382.43,3655.11,2024-07-25,00:37:00,1cda9e03-4451-4c1a-8b54-003f1f1f0a24,Active,Pending,Lloyds,0.54,GBP
2648ee38-e074-45eb-a156-63abc1f254b8,ATM1018,Birmingham,MasterCard Debit,Withdrawal,0.0,8567.95,2025-05-28,05:37:07,8ad22449-38e3-4ac1-b28e-91322cf7d12b,Inactive,Pending,Barclays,1.28,GBP
148b2758-d7ab-4928-89e4-69e6ec62b2c8,ATM9086,Leicester,MasterCard Credit,Mini Statement,0.0,1533.61,2024-09-30,09:45:51,2db9a049-6331-42ff-98c0-77b2d95e2ea5,Inactive,Success,Santander,1.73,GBP
d450fe4a-ec4f-417b-b306-d1a8e5eeac76,ATM6458,Leicester,Visa Debit,Mini Statement,0.0,9787.47,2024-11-05,16:23:57,bbf710f0-2d5c-4e58-bcda-d5a031f56169,Active,Success,Lloyds,3.0,GBP
d67e55fd-642b-4a42-aef9-c00b8a64c1b9,ATM4996,London,Visa Credit,Balance Inquiry,0.0,3021.0,2024-12-20,20:21:01,1514e4a9-30f0-4a8a-a789-b4e7f69f2f84,Under Maintenance,Failed,NatWest,2.03,GBP
85940927-468f-453d-864a-7a50b48d73f1,ATM6328,Birmingham,Visa Credit,Deposit,0.0,3637.86,2025-05-11,09:14:03,3ffec8e6-f9f8-434f-8425-37e358378eec,Inactive,Pending,HSBC,0.51,GBP
37176e84-d977-4993-bc49-d76fcfc6e625,ATM2031,Liverpool,MasterCard Debit,Balance Inquiry,0.0,5466.64,2024-06-22,10:27:34,150b8e3e-8a73-4e06-b61a-c127abe11ca4,Inactive,Success,Barclays,0.9,GBP
d3447490-96fd-45d0-adf2-0806e5214606,ATM4130,Manchester,Visa Debit,Deposit,0.0,8560.11,2024-07-15,11:31:43,c8848039-1414-451c-ab03-cbc1ab75974b,Under Maintenance,Pending,Lloyds,0.4,GBP
46743741-9466-4472-ab5f-5241f323ca74,ATM4632,Liverpool,MasterCard Credit,Balance Inquiry,50.7,5018.5,2025-02-07,16:22:50,c7b7ca5c-3d58-4e96-8762-80f7ddfd7a87,Under Maintenance,Pending,HSBC,1.49,GBP
a425799a-a905-4750-be1e-a9c573581a81,ATM4909,Glasgow,Visa Debit,Mini Statement,0.0,4499.34,2024-09-01,08:19:39,27740375-e3e5-427e-abcb-e781c9aa576c,Under Maintenance,Failed,Santander,2.7,GBP
